source,A1/2,A10,A11,A13L,A13M,A13a,A13b,A14C,A14R,A19DI,A19M,A23V,A23a,A23b,A23c,A24a,A24b,A24c,A24d,A25,A29a-c,A29d,A30,A31,A32,A32V,A35,A36,A3a,A3b,A45,A46D,A46V,A47L(12L),A47M(12M),A47O(12O),A4ab,A4c,A6DC,A6DR,A6M,A6Va,A6Vb,A8C,A8aD,A8aV,A8b,A9,AI,AIP,APir,AuA1,AuAL,AuCL,AuCM,AuCPB,AuML,AuR,AuRM,AuRPB,AuRT,AuRTL,AuRTM,DI,Ent,FST,GI,Gu,IPro,LIP,MIP,MST,OPAl,OPro,OPt,PE,PEC,PF,PFG,PG,PGM,PGa/IPa(FSTv),PaIL,PaIM,Pir,ProM(PrCO),ProSt,ReI,S2E,S2I,S2PR,S2PV,STR,TE1,TE2,TE3,TEO,TF,TFO,TH,TL,TLO,TPO(STP),TPPro,TPro,TPt,V1,V2,V3(VLP),V3A(DA),V4(VLA),V4T(MTC),V5(MT),V6(DM),V6A(PPM),VIP
A32V,0.0,0.03469151412786175,0.026374015399592884,0,0,0,0,0,0,0.0,0.0,0,0.0002967975543881518,1.2687779131140885e-05,0.0,0,0,0,3.666226719460332e-05,0,0,0,0,0,0.06968267581475128,0.0,0,0,0.0,0.0,0.0,0.00020822054720359806,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0002819187757484625,0.007855944920116514,0,0.0,0,0.0,0,0,0.0,0.0,7.569449701006738e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0011501413715435855,0.0,0,0,0,0,0,0.00026561282630464795,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A35,0.0,6.078645162432093e-05,4.425170369059209e-05,0,0,0,0,0,0,0.0,0.0,0,0.0001483987771940759,0.00016755628169351066,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,3.3402364887434026e-05,0.0,8.252527336496802e-05,0.0,0,0.0001309757694826457,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.291895856252292e-05,0.0,0.0,0.0008022361870735088,0.00017653808809250596,0,0.0005642544787699253,0,0.0,0,0,9.836323575700346e-05,0.00022331397945511388,9.55041424921806e-05,0,0,0,0.00027642078708493703,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0002427448038335,0.0,0.0,0.0004211654797457692,0.0009994794917331017,0.0003601663661074115,0.0001859427296392711,0.0008785416209092906,0,0,0,0,0,0,0.00023371038608955785,0,0,0,0,0,0,0.005337016318316504,0.002211121120301368,0,0,0,0,0,0.0024280161626351877,0,0,0,0.0,0.0,0,0.0,4.328442193654504e-05,0.00014762326542663124,0.0,0.0,0,0
A36,0.0,0.005410718982723824,0.0038498982210815116,0,0,0,0,0,0,0.0,0.0,0,8.903926631644554e-05,6.761242259747352e-05,0.0,0,0,0,0.0,0,0,0,0,0,0.002144082332761578,0.000935792555921152,0,0,6.680472977486805e-05,0.0006184291898577612,0.0014441922838869404,0.0,0,0.00022957090994274888,0,0,0.0,0.0,0.0,0.00033178199799493145,0.0,0.0,0,4.583791712504584e-05,0.0,0.00010313075506445673,0.000596668745448011,0.00026480713213875896,0,0.0006432920552188342,0,0.0,0,0,0.0003541076487252125,0.0,0.00026263639185349666,0,0,0,0.0015289641554447856,0,0,0,0,0,0,0,0,0.0,0.0,6.435420554733252e-05,0,0,0.0019576474461311714,0.0,0.0,0.00030630216708783217,0.00047539814594723084,0.001064449339478315,3.099045493987852e-05,0.009005051614320228,0,0,0,0,0,0,0.0011027149974662098,0,0,0,0,0,0,0.023828913810927683,0.018057489149127838,0,0,0,0,0,0.00518084287659001,0,0,0,6.708670287622497e-05,0.00023380277537363712,0,0.0,0.0014103688319576926,0.0008119279598464718,0.00018982536066818522,0.0,0,0
A3a,0.12243142502150435,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.00017807853263289108,0.0017346642026952435,0.20468320596318187,0,0,0,0.03920685512499447,0,0,0,0,0,0.0,0.0,0,0,0.0,0.2115220098972147,0.00016505054672993604,0.0,0,3.8058142748214034e-05,0,0,0.14834086124423568,0.2081563296516568,0.007012854876694942,0.00031471487599466657,0.0068175954796995605,0.10342050444290757,0,0.005369085405808341,0.0,0.0002137894174238375,0.0010646493092662881,0.0,0,2.0537254579807766e-05,0,0.0,0,0,0.00031476235442241113,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.32203872437357633,4.0130021268911264e-05,0.05306685044796692,0.0005636978579481398,0.0006352761219794012,0.0,0.00021963540522732262,0,0,0,0,0,0,0.027617902011392862,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,6.506389493711351e-05,0,0,0,0.0,0.0,0,0.00013539128080151638,0.0,0.0,0.0,0.0,0,0
A3b,0.23852304947593106,0.0,4.425170369059209e-05,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0006356326769643832,0.04235214395964311,0,0,0,0.011303383371812428,0,0,0,0,0,0.0,0.0,0,0,0.2865711700037042,0.0,8.252527336496802e-05,0.0,0,5.4141851651326476e-05,0,0,0.09742128859057728,0.010195412064570943,0.004869438649082323,0.0,0.0010050249612546113,0.034391381730375266,0,0.0005042170883755042,0.0,0.00023259608012699248,0.000531869628116756,0.0,0,0.0,0,0.0,0,0,0.0013967579477494492,0.0,0.0,0,0,0,1.947647242131505e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.00023265091875052866,0.08741457858769931,0.0,0.016999770273374685,0.010146561443066516,0.0001080765523030642,0.002448245940250403,0.0,0,0,0,0,0,0,0.05231574103870898,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.00013539128080151638,0.0,0.0,0.0,0.0,0,0
A45,0.0,0.0013960460797242725,0.0003540136295247368,0,0,0,0,0,0,0.004749967014117958,0.0,0,0.000652954619653934,0.0017545976631832948,0.0,0,0,0,0.00025663587036222317,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0015176191886289608,0.0,0.0,0,0.03767822460291993,0,0,0.0,0.0004248088360237893,0.0,0.0026668487206819515,0.0,0.02452948023695264,0,0.02173100506771989,0.00028392958546280523,0.12971293664975486,0.00019447027964425328,8.826904404625298e-05,0,0.018409031237566903,0,0.0,0,0,0.00015738117721120554,0.0,2.5231499003355786e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.004597701149425286,0.0001930626166419976,0,0,0.00022620519361399291,0.0,4.0130021268911264e-05,0.002450417336702657,0.0,0.0017879650624432204,0.0004958472790380563,0.000658906215681968,0,0,0,0,0,0,0.0008544818725385295,0,0,0,0,0,0,0.00013009540329575022,0.0020473343706494144,0,0,0,0,0,0.00022529947068476738,0,0,0,0.00079716607460478,0.0009705216793788793,0,0.0025606032450782466,0.007772337592792028,0.008180433156861055,0.0018282921979819804,0.0014326240060567846,0,0
A46D,0.0,0.10001282680699562,0.0075670413310912465,0,0,0,0,0,0,0.0,0.0,0,0.003007193491524977,0.004126355274203488,0.0,0,0,0,0.0010265434814488927,0,0,0,0,0,0.0,0.00015093428321308902,0,0,0.0,0.0,8.252527336496802e-05,0.0,0,0.006437503923547833,0,0,0.0,0.0,0.0,0.005424316535876603,0.0,0.0006361323155216284,0,2.291895856252292e-05,0.08410219015051422,0.0009068334544406343,0.010186960591783074,0.01006267102127284,0,5.58031595029281e-05,0,0.0,0,0,0.00031476235442241113,0.0,0.003889194931435177,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.435420554733252e-05,0,0,0.0,0.0,0.0,0.0,0.0,8.064279793298094e-05,0.00039175922938655125,0.0018669009444322426,0,0,0,0,0,0,0.00012113137589006697,0,0,0,0,0,0,0.003269022896466786,0.0,0,0,0,0,0,0.00917682181585953,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A46V,0.0,0.04428579825944017,0.007522789627400655,0,0,0,0,0,0,0.0,0.0005903187721369539,0,0.004192253351427817,0.005773082527402145,0.0,0,0,0,0.002273060566065405,0,0,0,0,0,0.0,0.00012074742657047122,0,0,0.0,0.0,0.0020218691974417165,0.12467155217131096,0,0.07045046596168794,0,0,0.0002222222222222222,0.0,0.0002631578947368421,0.009109456795370792,0.0009049390628337996,0.011599151858469324,0,0.005880629046511209,0.06604155088907365,0.026238007583050397,0.0020528019163380926,0.0006178833083237709,0,0.0017923382673384926,0,0.0,0,0,0.0013753322924360426,0.0,0.0005523820513132062,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0005791878499259925,0,0,0.00015080346240932857,0.0,0.0,0.0,0.0,0.0005451568330891555,0.003980365926356304,0.01240940039534373,0,0,0,0,0,0,0.006416574541569033,0,0,0,0,0,0,0.00290649893466867,0.0,0,0,0,0,0,0.007104446721824644,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A47L(12L),3.1858294306922805e-05,0.037903581952639584,0.05350030976192583,0,0,0,0,0,0,0.0013194352816994323,0.001180637544273908,0,0.012329868712073068,0.009278780027801586,0.0,0,0,0,0.00010998680158380994,0,0,0,0,0,0.0002144082332761578,0.00015093428321308902,0,0,0.0,0.00012338367387227322,0.16158448524860738,0.025586410170560944,0,0.0,0,0,0.0,0.0004248088360237893,0.0,0.020310818203570457,0.0006063756063756062,0.02320429517153348,0,0.03488235435565415,0.033936114321236416,0.2517956642311354,0.0069012785676424064,0.017035925500926825,0,0.03055440262245531,0,0.0,0,0,0.0017097672940098545,0.0,0.0013308029832115214,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0006196883852691218,0.0038314176245210726,0.0014157925220413155,0,0,0.0014004042672059428,0.0,0.0014446807656808055,0.00585802894555479,0.0015235608375189721,0.0053012382505469935,0.007622877760876457,0.021853722820118604,0,0,0,0,0,0,0.009148700000354087,0,0,0,0,0,0,0.02133875092369378,0.004299402178363771,0,0,0,0,0,0.0030574941386784012,0,0,0,0.0011792452830188679,0.0006252684249598733,0,0.0018895623861459468,0.008030479661477385,0.012540407137395623,0.0008881674220541842,0.00031670625494853525,0,0
A47M(12M),3.1858294306922805e-05,0.010011509406616041,0.04172935658022834,0,0,0,0,0,0,0.00013194352816994323,0.0005903187721369539,0,0.008880110052945455,0.0014719289513483976,0.0,0,0,0,0.00021997360316761987,0,0,0,0,0,0.0006432246998284736,0.00012074742657047122,0,0,0.0,0.0,0.05133072003301011,0.0038994763088610576,0,0.1025235156778905,0,0,0.0,0.0,0.0,0.007613014869533224,0.0004331254331254331,0.005306114533222541,0,0.004721944188954415,0.017759937518457943,0.03669374858179787,0.006538300558727329,0.0054726807308676855,0,0.010370679106779088,0,0.0,0,0,1.9672647151400686e-05,0.0,0.0016981209082841554,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.001480146727588648,0,0,0.0004753957225840286,0.0,0.0,0.0007274676468336013,0.0005942476824340384,0.0017604193009366086,0.002914706777848027,0.0015374478365912587,0,0,0,0,0,0,0.0003080996847617132,0,0,0,0,0,0,0.009233251139012782,0.00012284006223896486,0,0,0,0,0,0.0005904233776242813,0,0,0,4.508159769182221e-05,1.2953032304862567e-05,0,0.0,0.0022424274238855295,0.0005709564839825706,9.491268033409264e-05,0.0,0,0
A47O(12O),0.0,0.019284572287452544,0.010045136737764405,0,0,0,0,0,0,0.002111096450719092,0.0,0,0.0,6.265970867915945e-05,0.0,0,0,0,3.666226719460332e-05,0,0,0,0,0,0.006217838765008575,0.0,0,0,0.0,7.403020432336393e-05,0.04476996080049515,0.0024802511174041738,0,0.007408278524898992,0,0,0.0,0.0,0.0,0.0019971953270838364,0.0,0.00080179885972432,0,0.0017991382471580488,0.0012776831345826234,0.0076917621512747215,0.01058915587467335,0.0007061523523700237,0,0.0027355976541559236,0,0.0,0,0,0.0007278879446018258,0.0,0.0011831695263971008,0,0,0,2.3226645607841314e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.00012870841109466504,0,0,7.54017312046643e-05,0.0,0.0,0.0004594532506317481,0.0,0.0008832140576940336,0.0,0.0010981770261366134,0,0,0,0,0,0,0.0003890512247419293,0,0,0,0,0,0,0.0037724882210469295,0.0017197608713455082,0,0,0,0,0,0.005078278255759541,0,0,0,0.0,4.6244271490869075e-06,0,0.0,0.000710168127936442,0.0,9.491268033409264e-05,0.0,0,0
A4ab,0.16477109815540475,0.0,0.0,0,0,0,0,0,0,0.0,0.0005903187721369539,0,0.0012465497284302378,0.0023054470652907498,0.2433836539547491,0,0,0,0.5045341602785168,0,0,0,0,0,0.0002144082332761578,0.0,0,0,0.29422662829600443,0.03584158393659387,0.00028883845677738813,4.164410944071961e-05,0,0.0,0,0,0.0,0.015293118096856415,0.2852375196569231,0.002123752487105045,0.14307052356034886,0.009462388254101778,0,0.004819030400307791,0.0011357183418512211,0.00011905539468189809,0.0005317493816747567,0.0,0,4.1074509159615545e-05,0,0.0,0,0,3.9345294302801385e-05,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.20130979498861049,4.0130021268911264e-05,0.0030247338999923427,0.0005636978579481398,0.00015605636388672144,0.0,0.00010981770261366131,0,0,0,0,0,0,0.02504418011514756,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.00010002000400080016,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
A4c,0.0015929147153461404,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.00025520600537538575,0.0005646952527952415,0,0,0,0.00503014772078419,0,0,0,0,0,0.0,0.0,0,0,0.0014697040550470974,0.04390771706965285,0.0005364142768722922,0.0,0,0.0001851176211339722,0,0,0.004433275996038514,0.0,0.011714291000174295,0.001362744699884025,0.00434501437486706,0.11035470159204673,0,0.008801518813083494,0.0,2.542243588039998e-05,0.00015601509091424845,0.0,0,8.214901831923109e-05,0,0.0,0,0,1.9672647151400686e-05,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.018607856650585803,0.0,0.0001468765777757378,0.0,0.0,0,0,0,0,0,0,0.004758710470734458,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,5.001000200040008e-05,0,0,0,0.0,0.0,0,0.0001491201908738443,0.0,0.0,0.0,0.0,0,0
A6DC,0.020962757653955208,0.0,0.0,0,0,0,0,0,0,0.0009236046971896028,0.0,0,0.002819576766687442,0.014801341041753175,0.0014305613070812785,0,0,0,0.02312760972355983,0,0,0,0,0,0.0,0.0,0,0,0.006593142924805903,0.0024974560732820487,0.009407881163606354,4.164410944071961e-05,0,0.0021773876605737878,0,0,0.11078531804610522,0.07774001699235343,0.0,0.13572310529809087,0.1616415572788789,0.032144797704864204,0,0.1540225026601021,0.009653605905735378,0.01094926123467666,0.0014054587217227855,0.0,0,0.003007773494262901,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0011737089201877935,0.014559386973180075,0.0001930626166419976,0,0,7.54017312046643e-05,0.007972665148063782,0.009711465147076529,0.017344360211348494,0.002818489289740699,0.0025194991577772072,0.0009297136481963556,0.0,0,0,0,0,0,0,0.007212750938854102,0,0,0,0,0,0,2.3961278573824696e-05,0.0,0,0,0,0,0,0.0001602355757476539,0,0,0,0.0,0.0,0,0.00425204534513632,0.0005561991033085612,0.00022143489813994686,0.0,0.0003811701924909472,0,0
A6DR,0.00015929147153461402,0.0022430494251740357,0.0019028232586954601,0,0,0,0,0,0,0.001055548225359546,0.005312868949232586,0,0.026470597091399355,0.03788991629635538,0.0,0,0,0,0.00040328493914063647,0,0,0,0,0,0.0,0.0,0,0,6.680472977486805e-05,0.0,0.01889828760057768,0.012214097450324255,0,0.007703848340277851,0,0,0.0015385826959596126,0.0008496176720475786,0.07279837976665486,0.0,0.0923649849871752,0.003192263179185121,0,0.09366756689330136,0.05800706268587394,0.02721162392128023,0.05858441354516206,0.0009709594845087828,0,0.00939049669702194,0,0.0,0,0,0.00011803588290840415,0.0,0.00037711702167002623,0,0,0,0.0,0,0,0,0,0,0,0,0,0.014084507042253518,0.0,0.00045047943883132766,0,0,0.0010113547556658852,0.0002847380410022779,0.00943055499819415,7.657554177195804e-05,0.003275754060335189,0.007029137106029865,0.0230307014925507,0.000329453107840984,0,0,0,0,0,0,0.0002402726273976185,0,0,0,0,0,0,0.0004770164787510841,0.0,0,0,0,0,0,8.011778787382695e-05,0,0,0,0.0,0.0,0,0.0006769564040075819,0.00016014092401313157,0.00022143489813994686,0.0,0.0007623403849818944,0,0
