,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
S1D,0.0840810900631439,0.0,0.0,0.0,0.6819541375872383,0.16218012628780326,0.0,0.07111997341309405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006646726487205051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1V,0.2037914691943128,0.0,0.0,0.0,0.7548183254344392,0.0,0.0344391785150079,0.0,0.0069510268562401265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S2a,0.11021814006888633,0.0,0.0,0.0,0.0,0.0,0.8185993111366245,0.0,0.0711825487944891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S2b,0.1584630041282947,0.0,0.0,0.0,0.18831375039695142,0.0,0.5671641791044776,0.0,0.08605906637027627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Core,0.14169520547945205,0.0,0.0,0.0,0.0,0.0,0.0004280821917808219,0.0,0.8578767123287672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BeltM,0.16461136023916292,0.0,0.0,0.0,0.0,0.0,0.029895366218236172,0.0,0.7585949177877429,0.0,0.0,0.0,0.0,0.0,0.0,0.02428998505231689,0.022608370702541108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
BeltL,0.20506787330316742,0.0,0.0,0.0,0.0,0.0,0.00036199095022624434,0.0,0.7739366515837104,0.0,0.0,0.0,0.0,0.0,0.0,0.01809954751131222,0.0025339366515837103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PBR,0.1913109756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7591463414634146,0.0,0.0,0.0,0.0,0.0,0.0,0.04954268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PBC,0.1804430037817396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813614262560778,0.005942733657482442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
STR,0.11774600504625736,0.001261564339781329,0.0,0.005046257359125316,0.0,0.0,0.0,0.0,0.5988225399495374,0.0,0.0,0.0,0.0,0.0,0.0,0.27712363330529854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
AI,0.32575757575757575,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6426767676767676,0.016414141414141416,0.0,0.0,0.0012626262626262627,0.0,0.0,0.0,0.008838383838383838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DI,0.10797459421312633,0.0,0.0,0.0,0.0014114326040931546,0.0,0.0,0.0,0.08468595624558928,0.0,0.0,0.0,0.0,0.0,0.0,0.16090331686661963,0.589273112208892,0.0,0.0,0.0,0.0,0.0,0.0,0.05575158786167961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GI,0.14208456243854473,0.0,0.0,0.0,0.18141592920353983,0.0,0.019174041297935103,0.0,0.24385447394296952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408062930186824,0.0,0.0,0.0,0.0,0.0,0.0,0.005408062930186824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ReI,0.20738636363636365,0.0,0.0,0.0,0.0,0.0,0.1278409090909091,0.0,0.4715909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
PalR,0.055131004366812224,0.0,0.0,0.0016375545851528383,0.0,0.0,0.0,0.0,0.0824235807860262,0.0,0.0,0.0,0.0,0.0,0.0,0.7876637554585153,0.0,0.0,0.0,0.07314410480349345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PalC,0.34764309764309764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447811447811448,0.0,0.0,0.0,0.0,0.0,0.0,0.5378787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tpt,0.17036553524804177,0.0,0.0,0.0,0.0,0.0,0.7898172323759791,0.0,0.03981723237597911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TPOR,0.19467489870731236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6822303685124446,0.11537719467489871,0.0,0.0,0.0,0.0,0.0,0.001543507621068879,0.0,0.0,0.0,0.006174030484275516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TPOC,0.24935400516795866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6464254952627045,0.10422049956933678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FSTR,0.3997175141242938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591337099811676,0.008945386064030132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FSTC,0.42113955408753095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48678777869529316,0.09207266721717589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TEa,0.2514948360210183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05073382859213626,0.6977713353868454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TEb,0.25015654351909833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6455854727614276,0.10018785222291797,0.0,0.004070131496556042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
TEc,0.35970561177552896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05749770009199632,0.5827966881324746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TEd,0.31738148984198644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005417607223476298,0.6288939051918736,0.04830699774266366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TEe,0.22387344199424736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712368168744008,0.30488974113135187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TEf,0.23872679045092837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736737400530504,0.023209549071618037,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
TPPro,0.14138576779026218,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0,0.0,0.4812734082397004,0.12359550561797752,0.0,0.0,0.0,0.0,0.0,0.11329588014981273,0.0,0.0,0.011235955056179775,0.12827715355805244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PrhR,0.20382165605095542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,0.5859872611464968,0.05732484076433121,0.1337579617834395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PrhC,0.13604577240940877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518753973299428,0.012078830260648443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Enta,0.19091206276560968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384766263484799,0.05753514220333442,0.013076168682576005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Entb,0.23007856341189675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1750841750841751,0.3782267115600449,0.2166105499438833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PHGa,0.29851973684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5230263157894737,0.0912828947368421,0.0,0.054276315789473686,0.03289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PHGb,0.14844267726971505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04572564612326044,0.8028495692511597,0.002982107355864811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PHGc,0.1969864020580669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040610069827269384,0.7027747151782433,0.00615582506431459,0.0,0.033535464902609335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01993752296949651,1.0
Pri,0.19318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056818181818181816,0.0,0.0,0.03409090909090909,0.5568181818181818,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SB,0.2868217054263566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27325581395348836,0.4231266149870801,0.0,0.005813953488372093,0.010981912144702842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PEa,0.11799702528507684,0.0,0.0,0.0,0.0,0.7771442736737729,0.07907783837382251,0.025780862667327716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PEb,0.1111111111111111,0.0,0.0,0.0,0.0,0.6863799283154122,0.2025089605734767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PF-PFGa,0.12628865979381443,0.0,0.0,0.0,0.1174521354933726,0.04455081001472754,0.7117083946980854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PF-PFGb,0.152317880794702,0.0,0.0,0.0,0.0,0.0,0.847682119205298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
